binmid	N	q25	q50_CI_lower	q50	q50_CI_upper	q75
0.5	1701	2	4.51	5	5.49	15
1.5	1221	2	8.56	10	11.44	34
2.5	947	3	11.62	13	14.38	30
3.5	912	5	16.05	18	19.95	42.5
4.5	770	5	17.35	19.5	21.65	43
5.5	482	2	8.36	10	11.64	25
6.5	465	5	13.18	15	16.82	30
7.5	310	4	10.31	12	13.69	23
8.5	295	2	8.08	10	11.92	23
9.5	404	5	13.05	15	16.95	30
10.5	231	2	6.14	8	9.86	20
11.5	200	2	3.56	5	6.44	15
12.5	226	2	7.08	10	12.92	30
13.5	165	2	7.91	15	22.09	60
14.5	102	2	2.48	4.5	6.52	15
15.5	92	2	1.87	4	6.13	15
16.5	80	2	2.72	5	7.28	15
17.5	76	1	0.56	2	3.44	9
18.5	97	2	0.13	3	5.87	20
19.5	60	1	0.18	2	3.82	10
20.5	43	2	1.16	2	2.84	5.5
21.5	49	1	1.55	2	2.45	3
22.5	51	2	1.14	4	6.86	15
23.5	62	1	3.21	6	8.79	15
24.5	60	2	5.32	11.5	17.68	32.5
25.5	60	4.5	5.28	7	8.72	13
26.5	61	2	2.99	5	7.01	12
27.5	80	2	3.6	5	6.4	10
28.5	78	2	1.58	3	4.42	10
29.5	66	1	1.18	3.5	5.82	13
30.5	111	1	0.66	2	3.34	10
31.5	81	2	2.51	6	9.49	22
32.5	75	5	9.56	15	20.44	35
33.5	73	2	2.61	5	7.39	15
34.5	62	2	6.01	9	11.99	17
35.5	56	1	2.06	5	7.94	15
36.5	43	0.001	3.08	5	6.92	8
37.5	27	1.5	1.64	3	4.36	6
38.5	31	0.001	0.31	2	3.69	6
39.5	54	2	2.22	5	7.78	15
40.5	65	2	1.11	5	8.89	22
41.5	40	2	-0.83	5.5	11.83	27.5
42.5	49	2	3.76	6	8.24	12
43.5	30	2	2.71	5	7.29	10
44.5	37	1	0.71	2	3.29	6
45.5	28	1.5	0.66	2	3.34	6
46.5	21	2	2.26	5	7.74	10
47.5	8	0.5005	-0.89	3	6.89	7.5
48.5	6	2	2.58	4.5	6.42	5
49.5	4	0.5	-2.6	2.5	7.6	7
50.5	1	25	25	25	25	25
51.5	0					
52.5	5	0.001	-0.7	0.001	0.7	1
53.5	2	8	-2.37	16.5	35.37	25
54.5	3	1.5	-2.99	2	6.99	7
55.5	4	0.001	-0.57	1.0005	2.57	2
56.5	9	1	0.48	1	1.52	2
57.5	4	1	0.72	1.5	2.29	2
58.5	0					
59.5	3	1.5	1.55	2	2.45	2
